stat,window,avg_type,mae,rmse,r2
FG3A,28.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,29.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,30.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,31.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,32.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,33.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,34.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,35.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,36.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,37.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,38.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,39.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,40.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,41.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,42.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,43.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,44.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,45.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,46.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,47.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,48.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,49.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,50.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FTM,17.0,ewma,4.743343316976587,5.935042393534535,0.01996947830636142
FTM,18.0,ewma,4.738225192794529,5.928279934537188,0.022201523202036944
FTM,19.0,ewma,4.733799353440445,5.922344390189877,0.02415853631437137
FTM,20.0,ewma,4.729926958594036,5.917107310714859,0.025883630078400555
FTM,21.0,ewma,4.726472923819954,5.9124650420357785,0.027411517191144763
FTM,22.0,ewma,4.723427633921354,5.908333067338579,0.028770445055788962
FTM,23.0,ewma,4.720748944311116,5.904641821705575,0.02998362208188421
FTM,24.0,ewma,4.718394242943198,5.901333552737106,0.03107028446857507
FTM,25.0,ewma,4.716296488998423,5.89835993565042,0.032046504512103
FTM,26.0,ewma,4.714408544073753,5.895680240399367,0.032925810356990715
FTM,27.0,ewma,4.712711580930029,5.893259907972698,0.0337196663591115
FTM,28.0,ewma,4.711202299958865,5.891069433628668,0.034437849147476274
FTM,29.0,ewma,4.709854156646901,5.889083482912207,0.035088744761843205
FTM,30.0,ewma,4.708657620849149,5.8872801860159925,0.03567958544890737
FTM,31.0,ewma,4.7076089383497255,5.885640570069507,0.03621663988078705
FTM,32.0,ewma,4.706664348125988,5.8841480990372625,0.03670536709859362
FTM,33.0,ewma,4.705813343658099,5.88278829826101,0.037150541969368844
FTM,34.0,ewma,4.705048419000443,5.881548446093154,0.03755635809807567
FTM,35.0,ewma,4.704355792849511,5.880417319091875,0.03792651276652381
FTM,36.0,ewma,4.703728300614994,5.879384980266753,0.038264277445475225
FTM,37.0,ewma,4.703163972096681,5.878442602147591,0.03857255665143888
FTM,38.0,ewma,4.70267215957117,5.877582318191682,0.03885393732962461
FTM,39.0,ewma,4.702238953749651,5.876797097384176,0.039110730491644596
FTM,40.0,ewma,4.70185534965516,5.876080637923423,0.03934500648640704
FTM,41.0,ewma,4.701534325855308,5.875427276691759,0.03955862501004048
